id;title;distance;avg_pace;moving_time;calories;avg_heart_rate;sport_type;image_url;valid;public_activity;amount_of_money;was_paid;activity_date;created_date
1;drive reboot sticky;37978;74783;36126;76400;80959;SWIM;Reduced;true;false;94413;true;2022-06-29;2022-06-29T02:32:39
2;Auto;7363;98792;38430;61397;94290;SWIM;optical Pines;false;true;26426;false;2022-06-29;2022-06-29T00:51:17
3;Square Developer;86443;86583;63443;72662;49994;RUN;pink;false;true;2604;true;2022-06-28;2022-06-29T02:35:04
4;Optimization;42246;34159;8620;49946;22516;RUN;evolve maroon;true;true;27639;false;2022-06-29;2022-06-28T14:40:09
5;Handcrafted Iran;21237;27888;35247;86828;41968;RUN;global Frozen Licensed;true;false;31220;false;2022-06-29;2022-06-29T10:06:09
6;Technician Small;49672;73502;96246;39109;70793;RIDE;Credit User;false;false;76733;false;2022-06-29;2022-06-28T17:28:23
7;ADP Fords niches;22019;70839;59514;62202;20739;SWIM;Unbranded Account Unbranded;true;false;81324;false;2022-06-28;2022-06-29T06:28:00
8;Games reboot;3059;3814;97723;46010;95185;RIDE;haptic;false;true;5657;true;2022-06-28;2022-06-29T02:58:50
9;Vision-oriented Frozen Avon;53248;2524;46997;94605;37869;RUN;Coordinator;true;false;42807;false;2022-06-28;2022-06-28T21:34:13
10;Estonia transmitting;21194;87658;4533;32199;76719;RIDE;Solutions;true;false;99987;false;2022-06-28;2022-06-29T09:43:02
