id;name;description;image_url;url;public_activities
1;Isle;benchmark;Loan payment;https://esther.net;false
2;interface Generic;Frozen;override Account Handcrafted;http://michaela.org;true
3;schemas Electronics;Research Automotive explicit;Steel JBOD Greece;https://althea.info;true
4;invoice card Buckinghamshire;Customer Tuna architecture;Philippines;http://saige.biz;true
5;Computer Hat;Southern middleware;encompassing magnetic Grass-roots;https://aniya.net;true
6;generating vortals;application protocol;Bacon architectures;https://lukas.net;true
7;Bedfordshire mint;Shoes maroon;Gorgeous Fantastic;https://golda.org;true
8;Sausages firewall Seamless;monetize Card;Glen Arab AGP;http://floyd.net;false
9;transmit optical;synthesize bypassing;Bedfordshire Response Isle;https://gudrun.biz;false
10;Frozen Berkshire Toys;tan;product clicks-and-mortar Handcrafted;http://keaton.info;false
