id;fitness_account_type;url;nickname;is_active;created_date
1;STRAVA;http://jenifer.org;front-end;true;2022-06-29T13:56:06
2;GOOGLE_FIT;http://casper.info;SQL Guinea;false;2022-06-29T09:11:34
3;APPLE_HEALTH;http://vida.info;withdrawal;false;2022-06-29T04:32:04
4;GOOGLE_FIT;http://aniyah.com;Secured Guatemala Handcrafted;false;2022-06-29T04:31:28
5;APPLE_HEALTH;http://esperanza.org;Cotton installation Program;true;2022-06-29T10:15:03
6;STRAVA;https://kailey.net;hacking index;true;2022-06-29T10:23:11
7;GARMIN_CONNECT;https://deja.name;Computer connect bandwidth;true;2022-06-29T08:54:08
8;APPLE_HEALTH;http://judson.org;Buckinghamshire Central red;true;2022-06-29T16:36:04
9;APPLE_HEALTH;http://vidal.name;transmitter;true;2022-06-29T12:50:15
10;STRAVA;https://daphnee.biz;Keyboard Planner Licensed;true;2022-06-28T17:56:19
