id;name;description;avatar_url;site_url;recipient_type;account_details
1;olive AGP;Designer workforce;Lakes;Security edge;DONATE;grey
2;Fresh;Cross-platform Computers;Cheese synergistic Gorgeous;COM Rufiyaa Guinea;DONATE;olive
3;redundant Rubber generation;Shoes collaborative CSS;Ball online cyan;Plastic Tasty AI;CHARITY;Enhanced
4;overriding Practical;Officer mission-critical;parse action-items Tasty;Plastic;WITHDRAW;generating
5;Fresh disintermediate Devolved;Metal intuitive;Cotton gold;synthesize neural metrics;DONATE;Auto haptic architect
6;Wyoming bleeding-edge white;THX Somali;ADP synergies;granular Refined expedite;CHARITY;orchid Ergonomic
7;Locks TCP;AI;extend Cotton SMS;reinvent;CHARITY;wireless Music
8;bypassing Licensed Kids;holistic Awesome;FTP input;Namibia;WITHDRAW;Carolina Rupee
9;Health synergistic;HDD invoice;Home;models Roads Progressive;DONATE;Dynamic Utah green
10;RSS RAM;Monaco Assurance;Movies generating AI;Quality Sleek;DONATE;reboot Data
