id;code;description;type;value
1;payment Tunisian invoice;Account mission-critical mindshare;BOOLEAN;process
2;generating Forest;Pants;DOUBLE;Incredible
3;invoice Personal;Brook York haptic;INT;Legacy Administrator
4;even-keeled;invoice Investor Auto;DOUBLE;Handmade Assistant Haven
5;cyan Dinar;invoice Chair;BOOLEAN;optimize Strategist cross-platform
6;invoice Incredible Movies;deploy web-readiness Inlet;BOOLEAN;bypass matrices Berkshire
7;withdrawal Rubber;Home bypassing;STRING;Direct Credit
8;Incredible Directives infrastructures;reboot Computers bus;INT;quantifying Soft overriding
9;Supervisor asymmetric black;data-warehouse;STRING;Mouse Zimbabwe
10;Configuration;Cotton;DOUBLE;purple Pound
