id;sum_of_money;message;was_paid;date_of_payment;created_date
1;2849;B2C Gorgeous;false;2022-06-29T10:00:19;2022-06-28T14:01:15
2;87407;Representative B2B;true;2022-06-28T15:18:08;2022-06-29T01:33:00
3;79141;Shirt red;true;2022-06-29T04:44:44;2022-06-29T04:25:50
4;934;Haiti;true;2022-06-28T14:02:54;2022-06-29T07:52:51
5;38698;SQL;true;2022-06-29T11:15:18;2022-06-29T05:10:30
6;97190;Automotive;true;2022-06-28T23:43:21;2022-06-28T17:50:58
7;52466;Executive Ball e-tailers;true;2022-06-28T22:04:28;2022-06-29T05:11:23
8;83128;scalable Course;true;2022-06-28T18:13:20;2022-06-28T19:07:33
9;19104;Gourde Tools;true;2022-06-29T11:53:03;2022-06-29T00:40:35
10;51541;Pizza Facilitator;false;2022-06-29T00:47:09;2022-06-28T22:05:58
